Company(Maker-if known);SpecificBeanOrigin or BarName;REF;ReviewDate;CocoaPercent;CompanyLocation;Rating;BeanType;BroadBeanOrigin
Alain Ducasse;Piura, Perou;1173;2013;0,75;France;25;nan;Peru
Alexandre;Winak Coop, Napo;1944;2017;0,7;Netherlands;35;Forastero (Nacional);Ecuador
Alexandre;La Dalia, Matagalpa;1944;2017;0,7;Netherlands;35;Criollo, Trinitario;Nicaragua
Alexandre;Tien Giang;1944;2017;0,7;Netherlands;35;Trinitario;Vietnam
Alexandre;Makwale Village, Kyela;1944;2017;0,7;Netherlands;35;Forastero;Tanzania
Altus aka Cao Artisan;Momotombo;1728;2016;0,6;U.S.A.;275;nan;Nicaragua
Altus aka Cao Artisan;Acopagro;1728;2016;0,6;U.S.A.;3;nan;Peru
Altus aka Cao Artisan;CIAAB Coop;1732;2016;0,6;U.S.A.;25;nan;Bolivia
Altus aka Cao Artisan;Villa Andina;1732;2016;0,6;U.S.A.;25;nan;Peru
Altus aka Cao Artisan;Gruppo Salinas;1732;2016;0,6;U.S.A.;275;nan;Ecuador
Altus aka Cao Artisan;Sur del Lago;1125;2013;0,6;U.S.A.;25;nan;Venezuela
Altus aka Cao Artisan;Conacado;1125;2013;0,6;U.S.A.;3;Trinitario;Dominican Republic
Altus aka Cao Artisan;Bolivia;1129;2013;0,8;U.S.A.;325;nan;Bolivia
Altus aka Cao Artisan;Bolivia;1133;2013;0,6;U.S.A.;3;nan;Bolivia
Altus aka Cao Artisan;Peru;1133;2013;0,6;U.S.A.;325;nan;Peru
Amano;Morobe;725;2011;0,7;U.S.A.;4;nan;Papua New Guinea
Amano;Dos Rios;470;2010;0,7;U.S.A.;375;nan;Dominican Republic
Amano;Guayas;470;2010;0,7;U.S.A.;4;nan;Ecuador
Amano;Chuao;544;2010;0,7;U.S.A.;3;Trinitario;Venezuela
Amano;Montanya;363;2009;0,7;U.S.A.;3;nan;Venezuela
Amano;Bali, Jembrana;304;2008;0,7;U.S.A.;275;nan;Indonesia
Amano;Madagascar;129;2007;0,7;U.S.A.;35;Trinitario;Madagascar
Amano;Cuyagua;147;2007;0,7;U.S.A.;3;nan;Venezuela
Amano;Ocumare;175;2007;0,7;U.S.A.;375;Criollo;Venezuela
Amatller (Simon Coll);Ghana;322;2009;0,7;Spain;3;Forastero;Ghana
Amatller (Simon Coll);Ecuador;327;2009;0,7;Spain;275;nan;Ecuador
Amatller (Simon Coll);Ecuador;464;2009;0,85;Spain;275;nan;Ecuador
Amatller (Simon Coll);Ghana;464;2009;0,85;Spain;3;Forastero;Ghana
Amazona;LamasdelChanka, San Martin, Oro Verde coop;1145;2013;0,72;Peru;325;nan;Peru
Amazona;Bellavista Gran Pajeten, San Martin;1145;2013;0,73;Peru;35;Trinitario;Peru
Ambrosia;Belize;1494;2015;0,64;Canada;3;Trinitario;Belize
Ambrosia;Madagascar;1494;2015;0,66;Canada;325;Trinitario;Madagascar
Ambrosia;Dominican Republic;1498;2015;0,75;Canada;325;nan;Dominican Republic
Ambrosia;Papua New Guinea;1498;2015;0,63;Canada;325;nan;Papua New Guinea
Ambrosia;Venezuela;1498;2015;0,7;Canada;325;nan;Venezuela
Ambrosia;Peru;1498;2015;0,68;Canada;35;nan;Peru
Amedei;Piura, Blanco de Criollo;979;2012;0,7;Italy;375;nan;Peru
Amedei;Porcelana;111;2007;0,7;Italy;4;Criollo (Porcelana);Venezuela
Amedei;Nine;111;2007;0,75;Italy;4;Blend; 
Amedei;Chuao;111;2007;0,7;Italy;5;Trinitario;Venezuela
Amedei;Ecuador;123;2007;0,7;Italy;3;Trinitario;Ecuador
Amedei;Jamaica;123;2007;0,7;Italy;3;Trinitario;Jamaica
Amedei;Grenada;123;2007;0,7;Italy;35;Trinitario;Grenada
Amedei;Venezuela;123;2007;0,7;Italy;375;Trinitario (85% Criollo);Venezuela
Amedei;Madagascar;123;2007;0,7;Italy;4;Trinitario (85% Criollo);Madagascar
Amedei;Trinidad;129;2007;0,7;Italy;35;Trinitario;Trinidad
Amedei;Toscano Black;170;2007;0,63;Italy;35;Blend; 
Amedei;Toscano Black;40;2006;0,7;Italy;5;Blend; 
Amedei;Toscano Black;75;2006;0,66;Italy;4;Blend; 
AMMA;Catongo;1065;2013;0,75;Brazil;325;Forastero (Catongo);Brazil
AMMA;Monte Alegre, 3 diff. plantations;572;2010;0,85;Brazil;275;Forastero (Parazinho);Brazil
AMMA;Monte Alegre, 3 diff. plantations;572;2010;0,5;Brazil;375;Forastero (Parazinho);Brazil
AMMA;Monte Alegre, 3 diff. plantations;572;2010;0,75;Brazil;375;Forastero (Parazinho);Brazil
AMMA;Monte Alegre, 3 diff. plantations;572;2010;0,6;Brazil;4;Forastero (Parazinho);Brazil
Anahata;Elvesia;1259;2014;0,75;U.S.A.;3;nan;Dominican Republic
Animas;Alto Beni;1852;2016;0,75;U.S.A.;35;nan;Bolivia
Ara;Madagascar;1375;2014;0,75;France;3;Trinitario;Madagascar
Ara;Chiapas;1379;2014;0,72;France;25;nan;Mexico
Ara;Equateur;1379;2014;0,75;France;275;nan;Ecuador
Ara;Trincheras;1379;2014;0,75;France;3;nan;Venezuela
Arete;San Juan;1724;2016;0,7;U.S.A.;35;Trinitario;Trinidad
Arete;Kokoa Kamili;1724;2016;0,7;U.S.A.;375;nan;Tanzania
Arete;Tien Giang;1900;2016;0,73;U.S.A.;35;Trinitario;Vietnam
Arete;Hacienda Victoria;1904;2016;0,7;U.S.A.;325;nan;Ecuador
Arete;Costa Esmeraldas;1904;2016;0,7;U.S.A.;325;nan;Ecuador
Arete;Lachua;1904;2016;0,7;U.S.A.;35;nan;Guatemala
Arete;Rugoso;1904;2016;0,7;U.S.A.;375;nan;Nicaragua
Arete;La Masica, FHIA;1908;2016;0,7;U.S.A.;35;nan;Honduras
Arete;Coto Brus, Terciopelo;1908;2016;0,7;U.S.A.;4;nan;Costa Rica
Arete;Phantom;1924;2016;0,7;U.S.A.;4;Forastero (Nacional);Peru
Arete;Elvesia;1928;2016;0,7;U.S.A.;375;nan;Dominican Republic
Arete;Matasawalevu;1928;2016;0,7;U.S.A.;325;nan;Fiji
Arete;Lam Dong;1928;2016;0,73;U.S.A.;325;nan;Vietnam
Arete;Fazenda Camboa;1534;2015;0,7;U.S.A.;35;nan;Brazil
Arete;Nacional;1534;2015;0,68;U.S.A.;35;Forastero (Nacional);Peru
Arete;Puerto Quito, heirloom;1534;2015;0,7;U.S.A.;375;Forastero (Nacional);Ecuador
Arete;Oko Caribe;1598;2015;0,7;U.S.A.;35;nan;Domincan Republic
Arete;Maya Mountain;1598;2015;0,7;U.S.A.;375;Trinitario;Belize
Arete;Chuno;1598;2015;0,7;U.S.A.;4;Criollo, Trinitario;Nicaragua
Arete;Fazenda Camboa;1602;2015;0,75;U.S.A.;275;nan;Brazil
Arete;Guatemala;1602;2015;0,7;U.S.A.;325;nan;Guatemala
Arete;Camino Verde;1602;2015;0,75;U.S.A.;35;nan;Ecuador
Artisan du Chocolat;Trinidad, Heritage, Limited ed.;1193;2013;0,72;U.K.;325;Trinitario;Trinidad
Artisan du Chocolat;Colombia, Casa Luker;947;2012;0,72;U.K.;375;nan;Colombia
Artisan du Chocolat;Haiti;729;2011;0,72;U.K.;4;nan;Haiti
Artisan du Chocolat;Panama;745;2011;0,72;U.K.;275;nan;Panama
Artisan du Chocolat;Venezuela;486;2010;1;U.K.;175;nan;Venezuela
Artisan du Chocolat;Jamaica;531;2010;0,72;U.K.;375;Trinitario;Jamaica
Artisan du Chocolat;Costa Rica;600;2010;0,72;U.K.;325;nan;Costa Rica
Artisan du Chocolat;Ba Ria Vung Tau Province;600;2010;0,72;U.K.;325;Trinitario;Vietnam
Artisan du Chocolat;Bali;600;2010;0,72;U.K.;35;nan;Indonesia
Artisan du Chocolat;Ocumare, Venezuela;355;2009;0,75;U.K.;25;Criollo, Trinitario;Venezuela
Artisan du Chocolat;Java;355;2009;0,72;U.K.;275;Trinitario;Indonesia
Artisan du Chocolat;Brazil Rio Doce;363;2009;0,72;U.K.;175;nan;Brazil
Artisan du Chocolat;Madagascar;363;2009;0,8;U.K.;3;Criollo, Trinitario;Madagascar
Artisan du Chocolat;Peru;363;2009;0,75;U.K.;3;Criollo;Peru
Artisan du Chocolat;Dominican Republic;363;2009;0,72;U.K.;325;Trinitario;Dominican Republic
Artisan du Chocolat;Congo;300;2008;0,72;U.K.;375;Forastero;Congo
Artisan du Chocolat (Casa Luker);Orinoqua Region, Arauca;1181;2013;0,72;U.K.;275;Trinitario;Colombia
Askinosie;Mababa;1780;2016;0,68;U.S.A.;375;Trinitario;Tanzania
Askinosie;Tenende, Uwate;647;2011;0,72;U.S.A.;375;Trinitario;Tanzania
Askinosie;Cortes;661;2011;0,7;U.S.A.;375;Trinitario;Honduras
Askinosie;Davao;331;2009;0,77;U.S.A.;375;Trinitario;Philippines
Askinosie;Xoconusco;141;2007;0,75;U.S.A.;25;Trinitario;Mexico
Askinosie;San Jose del Tambo;175;2007;0,7;U.S.A.;3;Forastero (Arriba);Ecuador
Bahen & Co.;Houseblend;1474;2015;0,8;Australia;325;nan; 
Bahen & Co.;Papua New Guinea;1474;2015;0,7;Australia;35;nan;Papua New Guinea
Bahen & Co.;Sambirano;995;2012;0,7;Australia;3;Trinitario;Madagascar
Bahen & Co.;Bahia;999;2012;0,7;Australia;25;nan;Brazil
Bahen & Co.;Houseblend;999;2012;0,7;Australia;25;Blend; 
Bakau;Bambamarca, 2015;1454;2015;0,7;Peru;275;nan;Peru
Bakau;Huallabamba, 2015;1454;2015;0,7;Peru;35;nan;Peru
Bar Au Chocolat;Bahia;1554;2015;0,7;U.S.A.;35;nan;Brazil
Bar Au Chocolat;Maranon Canyon;1295;2014;0,7;U.S.A.;4;Forastero (Nacional);Peru
Bar Au Chocolat;Duarte Province;983;2012;0,7;U.S.A.;325;nan;Dominican Republic
Bar Au Chocolat;Chiapas;983;2012;0,7;U.S.A.;35;nan;Mexico
Bar Au Chocolat;Sambirano;983;2012;0,7;U.S.A.;375;Trinitario;Madagascar
Baravelli's;single estate;955;2012;0,8;Wales;275;nan;Costa Rica
Batch;Dominican Republic, Batch 3;1840;2016;0,65;U.S.A.;35;nan;Domincan Republic
Batch;Brazil;1868;2016;0,7;U.S.A.;375;nan;Brazil
Batch;Ecuador;1880;2016;0,65;U.S.A.;325;nan;Ecuador
Beau Cacao;Asajaya E, NW Borneo, b. #132/4500;1948;2017;0,73;U.K.;3;nan;Malaysia
Beau Cacao;Serian E., NW Borneo, b. #134/3800;1948;2017;0,72;U.K.;325;nan;Malaysia
Beehive;Brazil, Batch 20316;1784;2016;0,8;U.S.A.;275;nan;Brazil
Beehive;Dominican Republic, Batch 31616;1784;2016;0,7;U.S.A.;275;nan;Domincan Republic
Beehive;Ecuador, Batch 31516;1784;2016;0,7;U.S.A.;275;nan;Ecuador
Beehive;Ecuador;1788;2016;0,9;U.S.A.;275;nan;Ecuador
Belcolade;Costa Rica;586;2010;0,64;Belgium;275;nan;Costa Rica
Belcolade;Papua New Guinea;586;2010;0,64;Belgium;275;nan;Papua New Guinea
Belcolade;Peru;586;2010;0,64;Belgium;275;nan;Peru
Belcolade;Ecuador;586;2010;0,71;Belgium;35;nan;Ecuador
Bellflower;Kakao Kamili, Kilombero Valley;1800;2016;0,7;U.S.A.;35;Criollo, Trinitario;Tanzania
Bellflower;Alto Beni, Palos Blanco;1804;2016;0,7;U.S.A.;325;nan;Bolivia
Bellflower;Oko Caribe, Duarte P.;1864;2016;0,7;U.S.A.;35;nan;Domincan Republic
Belyzium;Belize south, low fermentation;1768;2016;0,83;Germany;275;Trinitario;Belize
Belyzium;Belize south;1768;2016;0,78;Germany;3;Trinitario;Belize
Belyzium;Belize south;1768;2016;0,83;Germany;35;Trinitario;Belize
Benoit Nihant;Baracoa;1141;2013;0,74;Belgium;35;Trinitario;Cuba
Benoit Nihant;Chuao;1141;2013;0,74;Belgium;35;Criollo;Venezuela
Benoit Nihant;Cuyagua Village;1141;2013;0,74;Belgium;35;Criollo;Venezuela
Benoit Nihant;Rio Peripa H.;1141;2013;0,73;Belgium;4;Trinitario;Ecuador
Benoit Nihant;Bali, Sukrama Bros. Farm, Melaya, 62hr C;757;2011;0,72;Belgium;4;Trinitario;Indonesia
Benoit Nihant;Somia Plantation, Sambirano, 70hr C;773;2011;0,72;Belgium;375;Trinitario;Madagascar
Bernachon;Nature;797;2012;0,55;France;275;nan; 
Beschle (Felchlin);Madagascar;636;2011;0,64;Switzerland;3;Trinitario;Madagascar
Beschle (Felchlin);Maracaibo;636;2011;0,88;Switzerland;3;Criollo;Venezuela
Beschle (Felchlin);Indigena Amazonia, Grand Cru, Quizas;636;2011;0,72;Switzerland;35;nan;Venezuela
Beschle (Felchlin);Ecuador;636;2011;0,72;Switzerland;4;nan;Ecuador
Beschle (Felchlin);Carenero S., Barlovento, Grand Cru;508;2010;0,7;Switzerland;325;Trinitario;Venezuela
Beschle (Felchlin);Porcelana, Premier Cru, Quizas No. 1;508;2010;0,74;Switzerland;325;Criollo (Porcelana);Venezuela
Beschle (Felchlin);Java, Grand Cru;508;2010;0,64;Switzerland;35;nan;Indonesia
Beschle (Felchlin);Ocumare, Premier Cru, Quizas No. 2;508;2010;0,72;Switzerland;35;nan;Venezuela
Bisou;Nicaragua, American style;1482;2015;0,76;U.S.A.;25;nan;Nicaragua
Bisou;San Andres, American style;1486;2015;0,76;U.S.A.;25;nan;Costa Rica
Bisou;San Andres, silk;1486;2015;0,78;U.S.A.;25;nan;Costa Rica
Bisou;Belize;1486;2015;0,86;U.S.A.;325;Trinitario;Belize
Bittersweet Origins;Ghana;963;2012;0,72;U.S.A.;35;Forastero;Ghana
Bittersweet Origins;Bali, Singaraja;478;2010;0,75;U.S.A.;325;nan;Indonesia
Bittersweet Origins;2009 Hapa Nibby;502;2010;0,7;U.S.A.;375;Blend;Dominican Rep., Bali
Bittersweet Origins;Bali, Singaraja;558;2010;0,65;U.S.A.;275;nan;Indonesia
Bittersweet Origins;Sambirano, 2009;565;2010;0,7;U.S.A.;3;Trinitario;Madagascar
Bittersweet Origins;Ocumare, prototype;565;2010;0,78;U.S.A.;3;Criollo;Venezuela
Bittersweet Origins;Puerto Plata;414;2009;0,75;U.S.A.;3;nan;Dominican Republic
Bittersweet Origins;Puerto Plata;414;2009;0,65;U.S.A.;35;nan;Dominican Republic
Bittersweet Origins;Sambirano;423;2009;0,75;U.S.A.;325;Trinitario;Madagascar
Bittersweet Origins;Sambirano;431;2009;0,65;U.S.A.;35;Trinitario;Madagascar
Bittersweet Origins;Sambirano;233;2008;0,71;U.S.A.;3;Trinitario;Madagascar
Bittersweet Origins;Bocas del Toro;233;2008;0,75;U.S.A.;35;nan;Panama
Bittersweet Origins;Puerto Plata;233;2008;0,68;U.S.A.;375;nan;Dominican Republic
Bittersweet Origins;Ankasa;256;2008;0,7;U.S.A.;3;Forastero;Ghana
Black Mountain;La Red;256;2008;0,7;U.S.A.;275;nan;Dominican Republic
Black Mountain;Carenero Superior;256;2008;0,7;U.S.A.;275;Trinitario;Venezuela
Black Mountain;Matiguas;256;2008;0,7;U.S.A.;3;nan;Nicaragua
Black River (A. Morin);Blue Mountain Region;1331;2014;0,7;U.K.;275;Trinitario;Jamaica
Blanxart;Congo, Grand Cru;1046;2013;0,82;Spain;35;Forastero;Congo
Blanxart;Organic Dark;322;2009;0,72;Spain;275;nan; 
Blue Bandana;Akesson's E., Sambirano V.;1740;2016;0,82;U.S.A.;35;Trinitario;Madagascar
Blue Bandana;Lachua;1752;2016;0,75;U.S.A.;275;nan;Guatemala
Blue Bandana;Kokoa Kamili;1752;2016;0,75;U.S.A.;35;nan;Tanzania
Blue Bandana;Zorzal Reserva;1756;2016;0,75;U.S.A.;3;nan;Dominican Republic
Blue Bandana;Guatemala;911;2012;0,7;U.S.A.;35;nan;Guatemala
Blue Bandana;Madagascar;911;2012;0,7;U.S.A.;375;Trinitario;Madagascar
Bonnat;Selva Maya;1912;2016;0,75;France;35;nan;Mexico
Bonnat;Kaori;1339;2014;0,75;France;4;nan;Brazil
Bonnat;Los Colorados, Santo Domingo, Equateur;1418;2014;0,75;France;325;nan;Dominican Republic
Bonnat;Surfin;1418;2014;0,65;France;375;nan;Venez,Africa,Brasil,Peru,Mex
Bonnat;Maragnam;1038;2013;0,75;France;35;nan;Brazil
Bonnat;Gabon;1042;2013;0,75;France;325;nan;Gabon
Bonnat;Cuba;629;2011;0,75;France;35;Trinitario;Cuba
Bonnat;Cusco, Cacao Cusco;629;2011;0,75;France;35;nan;Peru
Bonnat;Piura Blanco;629;2011;0,75;France;35;Forastero (Nacional);Peru
Bonnat;Libanio;629;2011;0,75;France;375;nan;Brazil
Bonnat;Haiti;629;2011;0,75;France;4;nan;Haiti
Bonnat;Madagascar, 100% criollo;629;2011;0,75;France;4;Criollo;Madagascar
Bonnat;Juliana;672;2011;0,75;France;35;nan;Brazil
Bonnat;Jamaique;761;2011;0,75;France;325;Trinitario;Jamaica
Bonnat;Ivory Coast;331;2009;0,75;France;3;nan;Ivory Coast
Bonnat;Porcelana, Apotequil;336;2009;0,75;France;275;Criollo;Peru
Bonnat;Porcelana, Tabasco, Marfil de Blanco;336;2009;0,75;France;3;Criollo;Mexico
Bonnat;Xoconusco, cacao Real;395;2009;0,75;France;3;Criollo;Mexico
Bonnat;Porcelana, Venezuela;199;2008;0,75;France;4;Criollo (Porcelana);Venezuela
Bonnat;Equateur;123;2007;0,75;France;25;Forastero (Arriba);Ecuador
Bonnat;Trinite;24;2006;0,75;France;375;Trinitario;Carribean
Bonnat;Ocumare, Puerto Cabello;32;2006;0,75;France;4;nan;Venezuela
Bonnat;Maracaibo, El Rosario;48;2006;0,75;France;4;Criollo;Venezuela
Bonnat;Madagascar;75;2006;0,75;France;4;Trinitario;Madagascar
Bonnat;One Hundred;81;2006;1;France;15;nan; 
Bonnat;Ceylan;81;2006;0,75;France;3;nan;Sri Lanka
Bonnat;Chuao;81;2006;0,75;France;4;Trinitario;Venezuela
Bouga Cacao (Tulicorp);El Oro, Hacienda de Oro;316;2009;0,77;Ecuador;325;Forastero (Arriba);Ecuador
Bouga Cacao (Tulicorp);El Oro, Hacienda de Oro;341;2009;1;Ecuador;15;Forastero (Arriba);Ecuador
Bowler Man;Maya Mountain;1267;2014;0,7;U.S.A.;275;Trinitario;Belize
Bowler Man;Conacado;1271;2014;0,7;U.S.A.;275;nan;Dominican Republic
Brasstown aka It's Chocolate;Guasare, Zulia Prov.;1868;2016;0,7;U.S.A.;35;Criollo;Venezuela
Brasstown aka It's Chocolate;O'payo, Waslala;1868;2016;0,7;U.S.A.;375;nan;Nicaragua
Brasstown aka It's Chocolate;Conacado;1462;2015;0,68;U.S.A.;375;nan;Dominican Republic
Brasstown aka It's Chocolate;Maya Mountain;1255;2014;0,7;U.S.A.;375;Trinitario;Belize
Brasstown aka It's Chocolate;Chuao;1355;2014;0,7;U.S.A.;4;Trinitario;Venezuela
Brasstown aka It's Chocolate;Cooproagro;1125;2013;0,72;U.S.A.;3;Trinitario;Dominican Republic
Brasstown aka It's Chocolate;Camino Verde, Guayas;1125;2013;0,7;U.S.A.;325;nan;Ecuador
Brasstown aka It's Chocolate;Ghana;1129;2013;0,75;U.S.A.;35;Forastero;Ghana
Brasstown aka It's Chocolate;Chuao, Mantuano blend;1129;2013;0,85;U.S.A.;35;Trinitario;Venezuela
Brazen;Elvesia P.;1514;2015;0,6;U.S.A.;3;nan;Dominican Republic
Brazen;Elvesia P.;1514;2015;0,8;U.S.A.;325;nan;Dominican Republic
Brazen;Alta Verapaz, 2014;1514;2015;0,7;U.S.A.;35;nan;Guatemala
Brazen;Ambolikapiky P.;1518;2015;0,8;U.S.A.;275;nan;Madagascar
Brazen;Maya Mountain;1518;2015;0,8;U.S.A.;325;Trinitario;Belize
Brazen;Ambolikapkly P.;1518;2015;0,6;U.S.A.;325;nan;Madagascar
Breeze Mill;Jamaica;1149;2013;0,7;U.S.A.;3;Trinitario;Jamaica
Bright;Somia Plantation;1231;2014;0,72;Australia;3;Trinitario;Madagascar
Bright;Marabel Farms;1231;2014;0,7;Australia;35;nan;Dominican Republic
Bright;Camino Verde, Balao, Guayas;1231;2014;0,72;Australia;35;nan;Ecuador
Bright;Gran Couva;1235;2014;0,68;Australia;275;Trinitario;Trinidad
Britarev;Ecuador;1638;2015;0,7;Russia;325;nan;Ecuador
Bronx Grrl Chocolate;Dominican Republic;1181;2013;0,68;U.S.A.;275;nan;Dominican Republic
Burnt Fork Bend;Trinidad;1299;2014;0,72;U.S.A.;325;Trinitario;Trinidad
Burnt Fork Bend;Mindo;1299;2014;0,72;U.S.A.;35;nan;Ecuador
Burnt Fork Bend;Belize;1303;2014;0,72;U.S.A.;325;Trinitario;Belize
Burnt Fork Bend;Blend;1303;2014;0,72;U.S.A.;325;Blend; 
Burnt Fork Bend;Ecuador, Bob Bar;1323;2014;0,6;U.S.A.;25;nan;Ecuador
Cacao Arabuco;Puerto Rico;1606;2015;0,7;Puerto Rico;25;nan;Puerto Rico
Cacao Atlanta;Tumbes;1215;2014;0,75;U.S.A.;25;Criollo;Peru
Cacao Atlanta;"Dominican Republic, ""Love Bar""";502;2010;0,75;U.S.A.;25;nan;Dominican Republic
Cacao Atlanta;Dominican Republic w/ nibs;502;2010;0,75;U.S.A.;275;nan;Dominican Republic
Cacao Atlanta;Patanemo;600;2010;0,75;U.S.A.;225;nan;Venezuela
Cacao Barry;Grand 'Anse;1716;2016;0,65;France;35;Trinitario, Criollo;Haiti
Cacao Barry;Santo Domingo;586;2010;0,7;France;3;nan;Dominican Republic
Cacao Barry;Tanzania;300;2008;0,75;France;2;nan;Tanzania
Cacao Barry;Venezuela;141;2007;0,72;France;2;nan;Venezuela
Cacao Barry;Mexico;147;2007;0,66;France;3;nan;Mexico
Cacao de Origen;Chuao;1688;2015;0,77;Venezuela;35;Trinitario;Venezuela
Cacao de Origen;Rio Caribe;1692;2015;0,75;Venezuela;325;Trinitario;Venezuela
Cacao de Origen;"Agua Fria; Sucre region";1391;2014;0,75;Venezuela;25;nan;Venezuela
Cacao de Origen;"Macuare; Miranda; Chloe formula";1391;2014;0,74;Venezuela;325;nan;Venezuela
Cacao de Origen;Chuao, Aragua region;1391;2014;0,75;Venezuela;35;Trinitario;Venezuela
Cacao de Origen;Chuao, Aragua region;1395;2014;0,7;Venezuela;375;Trinitario;Venezuela
Cacao de Origin;Hacienda la Trinidad;1668;2015;0,74;Venezuela;325;nan;Venezuela
Cacao Hunters;Macondo;1816;2016;0,71;Colombia;375;nan;Colombia
Cacao Hunters;Perla Negra;1816;2016;0,74;Colombia;375;nan;Colombia
Cacao Hunters;Arhuacos;1662;2015;0,72;Colombia;375;nan;Colombia
Cacao Hunters;Sierra Nevada;1430;2014;0,64;Colombia;35;nan;Colombia
Cacao Hunters;Tumaco;1430;2014;0,7;Colombia;35;nan;Colombia
Cacao Hunters;Boyaca, Aprocampa Coop, Pauna;1434;2014;0,69;Colombia;275;nan;Colombia
Cacao Hunters;Arauca;1434;2014;0,7;Colombia;325;nan;Colombia
Cacao Market;Jutiapa, lot 050916D;1860;2016;0,7;U.S.A.;35;Trinitario;Honduras
Cacao Prieto;Criollo, Dominican Republic;991;2012;0,72;U.S.A.;375;Criollo;Dominican Republic
Cacao Prieto;Dominican Republicm, rustic;641;2011;0,72;U.S.A.;3;nan;Dominican Republic
Cacao Prieto;Dominican Republic;641;2011;0,66;U.S.A.;375;nan;Dominican Republic
Cacao Prieto;Dominican Republic, rustic;647;2011;0,65;U.S.A.;325;nan;Dominican Republic
Cacao Sampaka;Mahali, Kasai;1908;2016;0,7;Spain;35;Criollo;Congo
Cacao Sampaka;Madagascar;508;2010;0,71;Spain;35;Trinitario;Madagascar
Cacao Sampaka;Ecuador;523;2010;0,71;Spain;375;nan;Ecuador
Cacao Sampaka;Papua;523;2010;0,71;Spain;4;nan;Papua New Guinea
Cacao Sampaka;Grenada;537;2010;0,71;Spain;325;Trinitario;Grenada
Cacao Sampaka;Venezuela;537;2010;0,71;Spain;35;nan;Venezuela
Cacao Sampaka;Venezuela;537;2010;0,77;Spain;35;nan;Venezuela
Cacao Sampaka;Porcelana, Tabasco, La Joya;336;2009;0,7;Spain;4;Criollo;Mexico
Cacao Sampaka;Xoconusco, Chiapas;346;2009;0,7;Spain;4;Criollo;Mexico
Cacao Store;Madagascar;1684;2015;0,7;Japan;3;Trinitario;Madagascar
Cacao Store;Peru;1684;2015;0,7;Japan;325;nan;Peru
